shipment_mass_release,shipment_status,shipment_pro,shipment_equipment_type_code,shipment_customer_ref_num,shipment_load_description,revenue_type_rev_type,customer name,carrier name,shipment_customer_total_rates,shipment_carrier_total_rates,shipment_gross_profit,shipment_net_margin,pick_stop_1_name,pickup,pick_stop_last_name,consignee,sales rep name,dispatcher assgn name,shipment_created_at,shipment_miles_truck,shipment_miles_customer,pick_stop_1_ready_or_deliver_date,pick_stop_1_location_zip,pick_stop_last_location_zip
true,RELEASED,12611,V,R46535,SCALE AND POD RCVD,B,AG POLYMERS,CES DEVELOPMENT INC,565.0,550.0,15.0,0.0265,LOGOPLASTE DIAGEO,"PLAINFIELD, IL",CU PLASTICS,"ROCHELLE, IL",PERLA LOPEZ,,2026-01-30 23:21:02 UTC,62,62,02/04/26,60544,61068
true,RELEASED,12612,FTL,FR-108670-1,POD RCVD - FAK,B,THE ROYAL GROUP,BK DELIVERY EXPRESS INC,1500.0,1231.25,268.75,0.1792,TRG WAREHOUSE,"CICERO, IL",GPI NEWTON,"NEWTON, IA",RYNE BANDOLIK,arciev1,2026-01-31 10:12:00 UTC,291,297,02/02/26,60804,50208
true,RELEASED,12613,FTL,FR-108670-2,POD RCVD - FAK,B,THE ROYAL GROUP,BLUE STAR EXPRESS INC,1500.0,1350.0,150.0,0.1,TRG WAREHOUSE,"CICERO, IL",GPI NEWTON,"NEWTON, IA",RYNE BANDOLIK,arciev1,2026-01-31 05:12:00 UTC,291,297,02/02/26,60804,50208
false,RELEASED,12614,V,R46490,MISSING SCALES FROM CARRIER,B,AG POLYMERS,ON-SITE EXPRESS INC,485.0,300.0,185.0,0.3814,LOGOPLASTE VAN DYKE,"PLAINFIELD, IL",CU PLASTIC,"ROCHELLE, IL",PERLA LOPEZ,,2026-02-01 19:32:40 UTC,62,62,02/02/26,60544,61068
false,RELEASED,12615,FTL,1341405,POD RCVD - FAK,I,VERIHA LOGISTICS,IVAN CARTAGE CO,835.0,0.0,835.0,1.0,EAGLE FOODS,"KENOSHA, WI",SADDLE CREEK - LOCATION 2,"JOLIET, IL",IVAN CARTAGE CO,arciev1,2026-02-02 12:22:57 UTC,100,100,01/29/26,53144-7520,60436
false,RELEASED,12616,FTL,9400148,POD RCVD - FAK,I,"TRINITY LOGISTICS, INC.",IVAN CARTAGE CO,400.0,0.0,400.0,1.0,PU,"PLEASANT PRAIRIE, WI",,"CHICAGO, IL",IVAN CARTAGE CO,,2026-02-02 13:52:50 UTC,61,61,01/30/26,53158,60699
false,RELEASED,12618,FTL,8676,POD RCVD - FAK,B,SWAN GROUP LOGISTICS,BCAT,225.0,0.0,225.0,1.0,Ritus Rubber aka VRC Eng,"MILWAUKEE, WI",Matrix (Flexx Freight Inc),"BRIDGEVIEW, IL",RUBEN VARGAS,,2026-02-02 15:16:59 UTC,114,114,01/30/26,53223-4160,60455
false,RELEASED,12619,LTL,,POD RCVD - FAK,I,C.W.I. DISPLAYS CORP,IVAN CARTAGE CO,300.0,0.0,300.0,1.0,INNOVATIVE DRAGON (WAUKESHA),"WAUKESHA, WI",CWI,"BEDFORD PARK, IL",IVAN CARTAGE CO,,2026-02-02 15:21:02 UTC,,,02/02/26,53189,
false,RELEASED,12620,TL,0146135,POD RCVD - PALLETS,I,GOLD STAR TRANSPORTATION,IVAN CARTAGE CO,563.34,0.0,563.34,1.0,ARDENT MILLS,"KENOSHA, WI",GORDON FOOD SERVICE,"KENOSHA, WI",IVAN CARTAGE CO,,2026-02-02 15:26:32 UTC,1,1,02/04/26,53142,53144
true,RELEASED,12621,SD,,POD RCVD - SALT,B,XYNYTH MANUFACTURING CORP.,LEO TRANSPORT LTD,4000.0,3841.92,158.08,0.0395,CSR PARTNERS,"DAVIDSON, SK",BROOKLYN SHIP YARD,"BROOKLYN, NY",BRANDON KING,,2026-02-02 16:41:00 UTC,,,02/03/26,,
true,RELEASED,12622,STRA,43488028,POD RCVD - TOTES,B,"DANISCO US, INC.",G2 LOGISTICS INC,1950.0,1500.0,450.0,0.2308,IFF - GENECOR,"BELOIT, WI",ADM Marshall WM Ethanol,"MARSHALL, MN",RYNE BANDOLIK,,2026-02-02 18:19:46 UTC,440,440,02/04/26,53511,56258
true,RELEASED,12624,LTL,FR-406320,POD RCVD - FAK,B,THE ROYAL GROUP,ECHO GLOBAL LOGISTICS,675.0,193.56,481.44,0.7132,TRG WAREHOUSE,"ADDISON, IL",USA MERRILLVILLE,"CROWN POINT, IN",RYNE BANDOLIK,,2026-02-02 21:58:41 UTC,65,65,02/03/26,60101,46307
true,RELEASED,12625,FTL,P60737-F,POD RCVD - Molded Pulp,B,DANDEE PALLET AND PACKAGING,CIE TRANSPORT INC,995.0,725.0,270.0,0.2714,ENVIROPAK,"EARTH CITY, MO",DANDEE PALLET AND PACKAGING,"WEST CHICAGO, IL",RYNE BANDOLIK,arciev1,2026-02-02 22:03:36 UTC,304,304,02/03/26,63045,60185
false,RELEASED,12626,FTL,FR-108686-1,POD RCVD - PACKAGING,B,THE ROYAL GROUP,FIRE TRANSPORT CORP,1025.0,885.0,140.0,0.1366,THE ROYAL GROUP,"CICERO, IL", RAINBOW AGRO,"CHAMPAIGN, IL",RYNE BANDOLIK,,2026-02-02 22:56:10 UTC,140,140,02/03/26,60804,61822
false,RELEASED,12627,FTL,FR-108686-2,POD RCVD - PACKAGING,B,THE ROYAL GROUP,FIRE TRANSPORT CORP,1025.0,850.0,175.0,0.1707,THE ROYAL GROUP,"CICERO, IL",RAINBOW AGRO,"CHAMPAIGN, IL",RYNE BANDOLIK,,2026-02-02 12:58:00 UTC,130,140,02/03/26,60804,61822
false,RELEASED,12628,TL,201140024,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,647.3,0.0,647.3,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-CALHOUN,"NEW BERLIN, WI",IVAN CARTAGE CO,arciev1,2026-02-03 12:29:32 UTC,101,101,02/02/26,60609,53151
true,RELEASED,12631,FTL,FR-108709,POD RCVD - FAK,B,THE ROYAL GROUP,BK DELIVERY EXPRESS INC,1500.0,1152.5,347.5,0.2317,TRG WAREHOUSE,"CICERO, IL",GPI NEWTON,"NEWTON, IA",RYNE BANDOLIK,arciev1,2026-02-03 11:51:00 UTC,291,297,02/04/26,60804,50208
true,RELEASED,12632,FTL,FR-108710,POD RCVD - FAK,B,THE ROYAL GROUP,"LANDSTAR RANGER, INC.",825.0,700.0,125.0,0.1515,THE ROYAL GROUP,"CICERO, IL",PROCON-LITTLE CHUTE,"LITTLE CHUTE, WI",RYNE BANDOLIK,arciev1,2026-02-03 17:01:00 UTC,190,207,02/04/26,60804,54140
true,RELEASED,12633,V,U3133,DUNNAGE NO SCALE TIX,B,AG POLYMERS,KOLEV ENTERPRISE INC,445.0,400.0,45.0,0.1011,CU PLASTICS ,"ROCHELLE, IL",LOGO VAN DYKE,"PLAINFIELD, IL",PERLA LOPEZ,,2026-02-04 07:07:52 UTC,62,62,02/04/26,61068,60544
false,RELEASED,12634,TL,200826152,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,493.4,0.0,493.4,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",EAGLE FOODS,"WAUKEGAN, IL",IVAN CARTAGE CO,arciev1,2026-02-04 12:06:24 UTC,56,56,02/03/26,60609,60087
false,RELEASED,12645,FTL,200775665,POD RCVD - FAK,B,BATORY FOODS,PYH EXPRESS INC,650.78,500.0,150.78,0.2317,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL","PHELPS INDUSTRIES, LLC","JANESVILLE, WI",RYNE BANDOLIK,,2026-02-04 16:44:09 UTC,113,113,02/05/26,60609,53546
false,RELEASED,12649,FTL,0019069,POD RCVD - FAK,I,RAIN DOGS LOGISTICS,IVAN CARTAGE CO,550.0,0.0,550.0,1.0,REGAL WARE,"WEST BEND, WI",KOCOUR COMPANY,"CHICAGO, IL",IVAN CARTAGE CO,,2026-02-05 12:19:48 UTC,144,144,02/05/26,53090-1961,60632
false,RELEASED,12650,TL,200582290,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,493.0,0.0,493.0,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",EAGLE FOODS,"WAUKEGAN, IL",IVAN CARTAGE CO,arciev1,2026-02-05 12:23:39 UTC,56,56,02/04/26,60609,60087
